120) at least three (or four) people have birthday at the same day, probability: 0.8
121) at least three (or four) people have birthday at the same day, probability: 0.85
122) at least three (or four) people have birthday at the same day, probability: 0.85
123) at least three (or four) people have birthday at the same day, probability: 0.86
124) at least three (or four) people have birthday at the same day, probability: 0.86
125) at least three (or four) people have birthday at the same day, probability: 0.86
126) at least three (or four) people have birthday at the same day, probability: 0.81
127) at least three (or four) people have birthday at the same day, probability: 0.91
128) at least three (or four) people have birthday at the same day, probability: 0.94
129) at least three (or four) people have birthday at the same day, probability: 0.85
130) at least three (or four) people have birthday at the same day, probability: 0.9
131) at least three (or four) people have birthday at the same day, probability: 0.91
132) at least three (or four) people have birthday at the same day, probability: 0.89
133) at least three (or four) people have birthday at the same day, probability: 0.94
134) at least three (or four) people have birthday at the same day, probability: 0.94
135) at least three (or four) people have birthday at the same day, probability: 0.93
136) at least three (or four) people have birthday at the same day, probability: 0.94
137) at least three (or four) people have birthday at the same day, probability: 0.94
138) at least three (or four) people have birthday at the same day, probability: 0.92
139) at least three (or four) people have birthday at the same day, probability: 0.93
140) at least three (or four) people have birthday at the same day, probability: 0.98
141) at least three (or four) people have birthday at the same day, probability: 0.93
142) at least three (or four) people have birthday at the same day, probability: 0.92
143) at least three (or four) people have birthday at the same day, probability: 0.95
144) at least three (or four) people have birthday at the same day, probability: 0.96
145) at least three (or four) people have birthday at the same day, probability: 0.95
146) at least three (or four) people have birthday at the same day, probability: 0.91
147) at least three (or four) people have birthday at the same day, probability: 0.92
148) at least three (or four) people have birthday at the same day, probability: 0.97
149) at least three (or four) people have birthday at the same day, probability: 0.97
150) at least three (or four) people have birthday at the same day, probability: 0.95
151) at least three (or four) people have birthday at the same day, probability: 0.95
152) at least three (or four) people have birthday at the same day, probability: 0.95
153) at least three (or four) people have birthday at the same day, probability: 0.98
154) at least three (or four) people have birthday at the same day, probability: 0.97
155) at least three (or four) people have birthday at the same day, probability: 0.98
156) at least three (or four) people have birthday at the same day, probability: 0.99
157) at least three (or four) people have birthday at the same day, probability: 0.98
158) at least three (or four) people have birthday at the same day, probability: 0.97
159) at least three (or four) people have birthday at the same day, probability: 0.98
160) at least three (or four) people have birthday at the same day, probability: 0.98
161) at least three (or four) people have birthday at the same day, probability: 0.97
162) at least three (or four) people have birthday at the same day, probability: 0.99
163) at least three (or four) people have birthday at the same day, probability: 0.99
164) at least three (or four) people have birthday at the same day, probability: 0.99
165) at least three (or four) people have birthday at the same day, probability: 0.96
166) at least three (or four) people have birthday at the same day, probability: 1.0
167) at least three (or four) people have birthday at the same day, probability: 0.99
168) at least three (or four) people have birthday at the same day, probability: 0.99
169) at least three (or four) people have birthday at the same day, probability: 1.0
170) at least three (or four) people have birthday at the same day, probability: 0.99
171) at least three (or four) people have birthday at the same day, probability: 0.99
172) at least three (or four) people have birthday at the same day, probability: 0.99
173) at least three (or four) people have birthday at the same day, probability: 0.98
174) at least three (or four) people have birthday at the same day, probability: 1.0
175) at least three (or four) people have birthday at the same day, probability: 1.0
176) at least three (or four) people have birthday at the same day, probability: 1.0
177) at least three (or four) people have birthday at the same day, probability: 1.0
178) at least three (or four) people have birthday at the same day, probability: 1.0
179) at least three (or four) people have birthday at the same day, probability: 1.0
180) at least three (or four) people have birthday at the same day, probability: 0.99
181) at least three (or four) people have birthday at the same day, probability: 0.99
182) at least three (or four) people have birthday at the same day, probability: 0.99
183) at least three (or four) people have birthday at the same day, probability: 1.0
184) at least three (or four) people have birthday at the same day, probability: 1.0
185) at least three (or four) people have birthday at the same day, probability: 1.0
186) at least three (or four) people have birthday at the same day, probability: 1.0
187) at least three (or four) people have birthday at the same day, probability: 1.0
188) at least three (or four) people have birthday at the same day, probability: 1.0
189) at least three (or four) people have birthday at the same day, probability: 0.99
190) at least three (or four) people have birthday at the same day, probability: 0.99
191) at least three (or four) people have birthday at the same day, probability: 1.0
192) at least three (or four) people have birthday at the same day, probability: 1.0
193) at least three (or four) people have birthday at the same day, probability: 1.0
194) at least three (or four) people have birthday at the same day, probability: 1.0
195) at least three (or four) people have birthday at the same day, probability: 1.0
196) at least three (or four) people have birthday at the same day, probability: 1.0
197) at least three (or four) people have birthday at the same day, probability: 1.0
198) at least three (or four) people have birthday at the same day, probability: 1.0
199) at least three (or four) people have birthday at the same day, probability: 1.0
200) at least three (or four) people have birthday at the same day, probability: 1.0
201) at least three (or four) people have birthday at the same day, probability: 1.0
202) at least three (or four) people have birthday at the same day, probability: 1.0
203) at least three (or four) people have birthday at the same day, probability: 1.0
204) at least three (or four) people have birthday at the same day, probability: 1.0
205) at least three (or four) people have birthday at the same day, probability: 1.0
206) at least three (or four) people have birthday at the same day, probability: 1.0
207) at least three (or four) people have birthday at the same day, probability: 1.0
208) at least three (or four) people have birthday at the same day, probability: 1.0
209) at least three (or four) people have birthday at the same day, probability: 1.0
210) at least three (or four) people have birthday at the same day, probability: 1.0
211) at least three (or four) people have birthday at the same day, probability: 1.0
212) at least three (or four) people have birthday at the same day, probability: 1.0
213) at least three (or four) people have birthday at the same day, probability: 1.0
214) at least three (or four) people have birthday at the same day, probability: 1.0
215) at least three (or four) people have birthday at the same day, probability: 1.0
216) at least three (or four) people have birthday at the same day, probability: 1.0
217) at least three (or four) people have birthday at the same day, probability: 1.0
218) at least three (or four) people have birthday at the same day, probability: 1.0
219) at least three (or four) people have birthday at the same day, probability: 1.0
220) at least three (or four) people have birthday at the same day, probability: 1.0
221) at least three (or four) people have birthday at the same day, probability: 1.0
222) at least three (or four) people have birthday at the same day, probability: 1.0
223) at least three (or four) people have birthday at the same day, probability: 1.0
224) at least three (or four) people have birthday at the same day, probability: 1.0
225) at least three (or four) people have birthday at the same day, probability: 1.0
226) at least three (or four) people have birthday at the same day, probability: 1.0
227) at least three (or four) people have birthday at the same day, probability: 1.0
228) at least three (or four) people have birthday at the same day, probability: 1.0
229) at least three (or four) people have birthday at the same day, probability: 1.0
230) at least three (or four) people have birthday at the same day, probability: 1.0
231) at least three (or four) people have birthday at the same day, probability: 1.0
232) at least three (or four) people have birthday at the same day, probability: 1.0
233) at least three (or four) people have birthday at the same day, probability: 1.0
234) at least three (or four) people have birthday at the same day, probability: 1.0
235) at least three (or four) people have birthday at the same day, probability: 1.0
236) at least three (or four) people have birthday at the same day, probability: 1.0
237) at least three (or four) people have birthday at the same day, probability: 1.0
238) at least three (or four) people have birthday at the same day, probability: 1.0
239) at least three (or four) people have birthday at the same day, probability: 1.0
240) at least three (or four) people have birthday at the same day, probability: 1.0
241) at least three (or four) people have birthday at the same day, probability: 1.0
242) at least three (or four) people have birthday at the same day, probability: 1.0
243) at least three (or four) people have birthday at the same day, probability: 1.0
244) at least three (or four) people have birthday at the same day, probability: 1.0
245) at least three (or four) people have birthday at the same day, probability: 1.0
246) at least three (or four) people have birthday at the same day, probability: 1.0
247) at least three (or four) people have birthday at the same day, probability: 1.0
248) at least three (or four) people have birthday at the same day, probability: 1.0
249) at least three (or four) people have birthday at the same day, probability: 1.0
250) at least three (or four) people have birthday at the same day, probability: 1.0
251) at least three (or four) people have birthday at the same day, probability: 1.0
252) at least three (or four) people have birthday at the same day, probability: 1.0
253) at least three (or four) people have birthday at the same day, probability: 1.0
254) at least three (or four) people have birthday at the same day, probability: 1.0
255) at least three (or four) people have birthday at the same day, probability: 1.0
256) at least three (or four) people have birthday at the same day, probability: 1.0
257) at least three (or four) people have birthday at the same day, probability: 1.0
258) at least three (or four) people have birthday at the same day, probability: 1.0
259) at least three (or four) people have birthday at the same day, probability: 1.0
260) at least three (or four) people have birthday at the same day, probability: 1.0
261) at least three (or four) people have birthday at the same day, probability: 1.0
262) at least three (or four) people have birthday at the same day, probability: 1.0
263) at least three (or four) people have birthday at the same day, probability: 1.0
264) at least three (or four) people have birthday at the same day, probability: 1.0
265) at least three (or four) people have birthday at the same day, probability: 1.0
266) at least three (or four) people have birthday at the same day, probability: 1.0
267) at least three (or four) people have birthday at the same day, probability: 1.0
268) at least three (or four) people have birthday at the same day, probability: 1.0
269) at least three (or four) people have birthday at the same day, probability: 1.0
270) at least three (or four) people have birthday at the same day, probability: 1.0
271) at least three (or four) people have birthday at the same day, probability: 1.0
272) at least three (or four) people have birthday at the same day, probability: 1.0
273) at least three (or four) people have birthday at the same day, probability: 1.0
274) at least three (or four) people have birthday at the same day, probability: 1.0
275) at least three (or four) people have birthday at the same day, probability: 1.0
276) at least three (or four) people have birthday at the same day, probability: 1.0
